datetime,equity
2025-11-26 01:00:00+00:00,1.0
2025-11-26 02:00:00+00:00,1.0
2025-11-26 03:00:00+00:00,1.0
2025-11-26 04:00:00+00:00,1.0
2025-11-26 05:00:00+00:00,1.0
2025-11-26 06:00:00+00:00,1.0
2025-11-26 07:00:00+00:00,1.0
2025-11-26 08:00:00+00:00,1.0
2025-11-26 09:00:00+00:00,1.0
2025-11-26 10:00:00+00:00,1.0
2025-11-26 11:00:00+00:00,1.0
2025-11-26 12:00:00+00:00,1.0
2025-11-26 13:00:00+00:00,1.0
2025-11-26 14:00:00+00:00,1.0
2025-11-26 15:00:00+00:00,1.0
2025-11-26 16:00:00+00:00,1.0
2025-11-26 17:00:00+00:00,1.0
2025-11-26 18:00:00+00:00,1.0
2025-11-26 19:00:00+00:00,1.0
2025-11-26 20:00:00+00:00,1.0
2025-11-26 21:00:00+00:00,1.0
2025-11-26 22:00:00+00:00,1.0
2025-11-26 23:00:00+00:00,1.0
2025-11-27 00:00:00+00:00,1.0
2025-11-27 01:00:00+00:00,1.0
2025-11-27 02:00:00+00:00,1.0
2025-11-27 03:00:00+00:00,1.0
2025-11-27 04:00:00+00:00,1.0
2025-11-27 05:00:00+00:00,1.0
2025-11-27 06:00:00+00:00,1.0
2025-11-27 07:00:00+00:00,1.0
2025-11-27 08:00:00+00:00,1.0
2025-11-27 09:00:00+00:00,1.0
2025-11-27 10:00:00+00:00,1.0
2025-11-27 11:00:00+00:00,1.0
2025-11-27 12:00:00+00:00,1.0
2025-11-27 13:00:00+00:00,1.0
2025-11-27 14:00:00+00:00,1.0
2025-11-27 15:00:00+00:00,1.0
2025-11-27 16:00:00+00:00,1.0
2025-11-27 17:00:00+00:00,1.0
2025-11-27 18:00:00+00:00,1.0
2025-11-27 19:00:00+00:00,1.0
2025-11-27 20:00:00+00:00,1.0
2025-11-27 21:00:00+00:00,1.0
2025-11-27 22:00:00+00:00,1.0
2025-11-27 23:00:00+00:00,1.0
2025-11-28 00:00:00+00:00,1.0
2025-11-28 01:00:00+00:00,1.0
2025-11-28 02:00:00+00:00,1.0
2025-11-28 03:00:00+00:00,1.0
2025-11-28 04:00:00+00:00,1.0
2025-11-28 05:00:00+00:00,1.0007804267029194
2025-11-28 06:00:00+00:00,1.002761866635901
2025-11-28 07:00:00+00:00,0.9994240708592932
2025-11-28 08:00:00+00:00,0.9951207336346799
2025-11-28 09:00:00+00:00,1.0035796211275791
2025-11-28 10:00:00+00:00,1.002747635299366
2025-11-28 11:00:00+00:00,1.0054658205775944
2025-11-28 12:00:00+00:00,1.0009282136592474
2025-11-28 13:00:00+00:00,1.001797419906091
2025-11-28 14:00:00+00:00,1.0110981456909585
2025-11-28 15:00:00+00:00,1.009875345467124
2025-11-28 16:00:00+00:00,1.0110390309084276
2025-11-28 17:00:00+00:00,1.009522472362065
2025-11-28 18:00:00+00:00,1.009522472362065
2025-11-28 19:00:00+00:00,1.009522472362065
2025-11-28 20:00:00+00:00,1.009522472362065
2025-11-28 21:00:00+00:00,1.009522472362065
2025-11-28 22:00:00+00:00,1.009522472362065
2025-11-28 23:00:00+00:00,1.009522472362065
2025-11-29 00:00:00+00:00,1.009522472362065
2025-11-29 01:00:00+00:00,1.009522472362065
2025-11-29 02:00:00+00:00,1.009522472362065
2025-11-29 03:00:00+00:00,1.009522472362065
2025-11-29 04:00:00+00:00,1.009522472362065
2025-11-29 05:00:00+00:00,1.009522472362065
2025-11-29 06:00:00+00:00,1.009522472362065
2025-11-29 07:00:00+00:00,1.009522472362065
2025-11-29 08:00:00+00:00,1.009522472362065
2025-11-29 09:00:00+00:00,1.009522472362065
2025-11-29 10:00:00+00:00,1.009522472362065
2025-11-29 11:00:00+00:00,1.009522472362065
2025-11-29 12:00:00+00:00,1.009522472362065
2025-11-29 13:00:00+00:00,1.009522472362065
2025-11-29 14:00:00+00:00,1.009522472362065
2025-11-29 15:00:00+00:00,1.009522472362065
2025-11-29 16:00:00+00:00,1.009522472362065
2025-11-29 17:00:00+00:00,1.009522472362065
2025-11-29 18:00:00+00:00,1.009522472362065
2025-11-29 19:00:00+00:00,1.009522472362065
2025-11-29 20:00:00+00:00,1.009522472362065
2025-11-29 21:00:00+00:00,1.009522472362065
2025-11-29 22:00:00+00:00,1.009522472362065
2025-11-29 23:00:00+00:00,1.009522472362065
2025-11-30 00:00:00+00:00,1.009522472362065
2025-11-30 01:00:00+00:00,1.009522472362065
2025-11-30 02:00:00+00:00,1.009522472362065
2025-11-30 03:00:00+00:00,1.009522472362065
2025-11-30 04:00:00+00:00,1.009522472362065
2025-11-30 05:00:00+00:00,1.009522472362065
2025-11-30 06:00:00+00:00,1.009522472362065
2025-11-30 07:00:00+00:00,1.009522472362065
2025-11-30 08:00:00+00:00,1.009522472362065
2025-11-30 09:00:00+00:00,1.009522472362065
2025-11-30 10:00:00+00:00,1.009522472362065
2025-11-30 11:00:00+00:00,1.009522472362065
2025-11-30 12:00:00+00:00,1.009522472362065
2025-11-30 13:00:00+00:00,1.009522472362065
2025-11-30 14:00:00+00:00,1.0113402446778594
2025-11-30 15:00:00+00:00,1.008348192028174
2025-11-30 16:00:00+00:00,1.0077101078719428
2025-11-30 17:00:00+00:00,1.0119849411051398
2025-11-30 18:00:00+00:00,1.008262232504537
2025-11-30 19:00:00+00:00,1.0079602721266312
2025-11-30 20:00:00+00:00,1.0079745987139042
2025-11-30 21:00:00+00:00,1.006322632996822
2025-11-30 22:00:00+00:00,1.0047389940805795
2025-11-30 23:00:00+00:00,1.0053858945982097
2025-12-01 00:00:00+00:00,1.0038778157563124
2025-12-01 01:00:00+00:00,1.0038778157563124
2025-12-01 02:00:00+00:00,1.0038778157563124
2025-12-01 03:00:00+00:00,1.0038778157563124
2025-12-01 04:00:00+00:00,1.0038778157563124
2025-12-01 05:00:00+00:00,1.0038778157563124
2025-12-01 06:00:00+00:00,1.0038778157563124
2025-12-01 07:00:00+00:00,1.0038778157563124
2025-12-01 08:00:00+00:00,1.0038778157563124
2025-12-01 09:00:00+00:00,1.0038778157563124
2025-12-01 10:00:00+00:00,1.0038778157563124
2025-12-01 11:00:00+00:00,1.0038778157563124
2025-12-01 12:00:00+00:00,1.0038778157563124
2025-12-01 13:00:00+00:00,1.0038778157563124
2025-12-01 14:00:00+00:00,1.0038778157563124
2025-12-01 15:00:00+00:00,1.0038778157563124
2025-12-01 16:00:00+00:00,1.0038778157563124
2025-12-01 17:00:00+00:00,1.0038778157563124
2025-12-01 18:00:00+00:00,1.0038778157563124
2025-12-01 19:00:00+00:00,1.0038778157563124
2025-12-01 20:00:00+00:00,1.0038778157563124
2025-12-01 21:00:00+00:00,1.0038778157563124
2025-12-01 22:00:00+00:00,1.0038778157563124
2025-12-01 23:00:00+00:00,1.0038778157563124
2025-12-02 00:00:00+00:00,1.0038778157563124
2025-12-02 01:00:00+00:00,1.0038778157563124
2025-12-02 02:00:00+00:00,1.0038778157563124
2025-12-02 03:00:00+00:00,1.0038778157563124
2025-12-02 04:00:00+00:00,1.0038778157563124
2025-12-02 05:00:00+00:00,1.0038778157563124
2025-12-02 06:00:00+00:00,1.0038778157563124
2025-12-02 07:00:00+00:00,1.0038778157563124
2025-12-02 08:00:00+00:00,1.0038778157563124
2025-12-02 09:00:00+00:00,1.0038778157563124
